brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
pampersus,C8w-HlTJSYx,145,0,1322,False,46.0,74.0,True,True,True,1,0,hashtag_ad,49,0,True,False,0.7142857142857143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,307.0
pampersus,C-D4Wz-Sx8e,59,0,3,False,4.0,4.0,False,True,True,1,0,hashtag_ad,24,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C8dStCev-UU,13,0,649,False,40.0,48.0,True,True,True,1,0,hashtag_ad,23,0,True,False,0.1739130434782608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,301.0
pampersus,C8U1yPWv21j,21,0,100,False,51.0,76.0,False,True,False,1,0,hashtag_ad,63,0,False,True,0.4444444444444444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,155.0
pampersus,C7UMllyRVAQ,22,0,388,False,35.0,47.0,False,True,True,1,0,hashtag_ad,22,0,True,False,0.1818181818181818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,433.0
pampersus,C7Un4XwJMN6,39,0,499,False,78.0,131.0,True,True,True,1,0,hashtag_ad,105,0,False,False,0.3619047619047619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,417.0
pampersus,C6aAfTrRNNy,5,0,81,False,39.0,118.0,True,True,True,1,0,hashtag_ad,56,0,True,False,0.0535714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,421.0
pampersus,C8udH1LPvhn,35,0,1388,False,46.0,66.0,True,True,True,1,0,hashtag_ad,106,0,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,273.0
pampersus,C8xNz_auwbY,20,0,3,False,,,,,,1,0,hashtag_ad,36,0,True,True,0.4722222222222222,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C6zAvZngvwg,10,0,52,False,31.0,42.0,True,True,True,1,0,hashtag_ad,55,0,True,False,0.3818181818181818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,251.0
pampersus,C8w4lHKAYxC,9,0,108,False,49.0,117.0,True,True,True,1,0,hashtag_ad,44,0,True,False,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,0.0,183.0
